symbol,sector,isin
360ONE,Financial Services,INE466L01038
3MINDIA,Diversified,INE470A01017
ABB,Capital Goods,INE117A01022
ACC,Construction Materials,INE012A01025
ACMESOLAR,Power,INE622W01025
AIAENG,Capital Goods,INE212H01026
APLAPOLLO,Capital Goods,INE702C01027
AUBANK,Financial Services,INE949L01017
AWL,Fast Moving Consumer Goods,INE699H01024
AADHARHFC,Financial Services,INE883F01010
AARTIIND,Chemicals,INE769A01020
AAVAS,Financial Services,INE216P01012
ABBOTINDIA,Healthcare,INE358A01014
ACE,Capital Goods,INE731H01025
ACUTAAS,Healthcare,INE00FF01025
ADANIENSOL,Power,INE931S01010
ADANIENT,Metals & Mining,INE423A01024
ADANIGREEN,Power,INE364U01010
ADANIPORTS,Services,INE742F01042
ADANIPOWER,Power,INE814H01029
ATGL,Oil Gas & Consumable Fuels,INE399L01023
ABCAPITAL,Financial Services,INE674K01013
ABFRL,Consumer Services,INE647O01011
ABLBL,Consumer Services,INE14LE01019
ABREL,Realty,INE055A01016
ABSLAMC,Financial Services,INE404A01024
CPPLUS,Capital Goods,INE819V01029
AEGISLOG,Oil Gas & Consumable Fuels,INE208C01025
AEGISVOPAK,Oil Gas & Consumable Fuels,INE0INX01018
AFCONS,Construction,INE101I01011
AFFLE,Information Technology,INE00WC01027
AJANTPHARM,Healthcare,INE031B01049
ALKEM,Healthcare,INE540L01014
ABDL,Fast Moving Consumer Goods,INE552Z01027
ARE&M,Automobile and Auto Components,INE885A01032
AMBER,Consumer Durables,INE371P01015
AMBUJACEM,Construction Materials,INE079A01024
ANANDRATHI,Financial Services,INE463V01026
ANANTRAJ,Realty,INE242C01024
ANGELONE,Financial Services,INE732I01021
ANTHEM,Healthcare,INE0CZ201020
ANURAS,Chemicals,INE930P01018
APARINDS,Capital Goods,INE372A01015
APOLLOHOSP,Healthcare,INE437A01024
APOLLOTYRE,Automobile and Auto Components,INE438A01022
APTUS,Financial Services,INE852O01025
ASAHIINDIA,Automobile and Auto Components,INE439A01020
ASHOKLEY,Capital Goods,INE208A01029
ASIANPAINT,Consumer Durables,INE021A01026
ASTERDM,Healthcare,INE914M01019
ASTRAL,Capital Goods,INE006I01046
ATHERENERG,Automobile and Auto Components,INE0LEZ01016
ATUL,Chemicals,INE100A01010
AUROPHARMA,Healthcare,INE406A01037
AIIL,Financial Services,INE206F01022
DMART,Consumer Services,INE192R01011
AXISBANK,Financial Services,INE238A01034
BEML,Capital Goods,INE258A01024
BLS,Consumer Services,INE153T01027
BSE,Financial Services,INE118H01025
BAJAJ-AUTO,Automobile and Auto Components,INE917I01010
BAJFINANCE,Financial Services,INE296A01032
BAJAJFINSV,Financial Services,INE918I01026
BAJAJHLDNG,Financial Services,INE118A01012
BAJAJHFL,Financial Services,INE377Y01014
BALKRISIND,Automobile and Auto Components,INE787D01026
BALRAMCHIN,Fast Moving Consumer Goods,INE119A01028
BANDHANBNK,Financial Services,INE545U01014
BANKBARODA,Financial Services,INE028A01039
BANKINDIA,Financial Services,INE084A01016
MAHABANK,Financial Services,INE457A01014
BATAINDIA,Consumer Durables,INE176A01028
BAYERCROP,Chemicals,INE462A01022
BELRISE,Automobile and Auto Components,INE894V01022
BERGEPAINT,Consumer Durables,INE463A01038
BDL,Capital Goods,INE171Z01026
BEL,Capital Goods,INE263A01024
BHARATFORG,Automobile and Auto Components,INE465A01025
BHEL,Capital Goods,INE257A01026
BPCL,Oil Gas & Consumable Fuels,INE029A01011
BHARTIARTL,Telecommunication,INE397D01024
BHARTIHEXA,Telecommunication,INE343G01021
BIKAJI,Fast Moving Consumer Goods,INE00E101023
GROWW,Financial Services,INE0HOQ01053
BIOCON,Healthcare,INE376G01013
BSOFT,Information Technology,INE836A01035
BLUEDART,Services,INE233B01017
BLUEJET,Healthcare,INE0KBH01020
BLUESTARCO,Consumer Durables,INE472A01039
BBTC,Fast Moving Consumer Goods,INE050A01025
BOSCHLTD,Automobile and Auto Components,INE323A01026
FIRSTCRY,Consumer Services,INE02RE01045
BRIGADE,Realty,INE791I01019
BRITANNIA,Fast Moving Consumer Goods,INE216A01030
MAPMYINDIA,Information Technology,INE0BV301023
CCL,Fast Moving Consumer Goods,INE421D01022
CESC,Power,INE486A01021
CGPOWER,Capital Goods,INE067A01029
CIEINDIA,Automobile and Auto Components,INE536H01010
CRISIL,Financial Services,INE007A01025
CANFINHOME,Financial Services,INE477A01020
CANBK,Financial Services,INE476A01022
CANHLIFE,Financial Services,INE01TY01017
CAPLIPOINT,Healthcare,INE475E01026
CGCL,Financial Services,INE180C01042
CARBORUNIV,Capital Goods,INE120A01034
CARTRADE,Consumer Services,INE290S01011
CASTROLIND,Oil Gas & Consumable Fuels,INE172A01027
CEATLTD,Automobile and Auto Components,INE482A01020
CEMPRO,Construction,INE686A01026
CENTRALBK,Financial Services,INE483A01010
CDSL,Financial Services,INE736A01011
CHALET,Consumer Services,INE427F01016
CHAMBLFERT,Chemicals,INE085A01013
CHENNPETRO,Oil Gas & Consumable Fuels,INE178A01016
CHOICEIN,Financial Services,INE102B01014
CHOLAHLDNG,Financial Services,INE149A01033
CHOLAFIN,Financial Services,INE121A01024
CIPLA,Healthcare,INE059A01026
CUB,Financial Services,INE491A01021
CLEAN,Chemicals,INE227W01023
COALINDIA,Oil Gas & Consumable Fuels,INE522F01014
COCHINSHIP,Capital Goods,INE704P01025
COFORGE,Information Technology,INE591G01025
COHANCE,Healthcare,INE03QK01018
COLPAL,Fast Moving Consumer Goods,INE259A01022
CAMS,Financial Services,INE596I01020
CONCORDBIO,Healthcare,INE338H01029
CONCOR,Services,INE111A01025
COROMANDEL,Chemicals,INE169A01031
CRAFTSMAN,Automobile and Auto Components,INE00LO01017
CREDITACC,Financial Services,INE741K01010
CROMPTON,Consumer Durables,INE299U01018
CUMMINSIND,Capital Goods,INE298A01020
CYIENT,Information Technology,INE136B01020
DCMSHRIRAM,Diversified,INE499A01024
DLF,Realty,INE271C01023
DOMS,Fast Moving Consumer Goods,INE321T01012
DABUR,Fast Moving Consumer Goods,INE016A01026
DALBHARAT,Construction Materials,INE00R701025
DATAPATTNS,Capital Goods,INE0IX101010
DEEPAKFERT,Chemicals,INE501A01019
DEEPAKNTR,Chemicals,INE288B01029
DELHIVERY,Services,INE148O01028
DEVYANI,Consumer Services,INE872J01023
DIVISLAB,Healthcare,INE361B01024
DIXON,Consumer Durables,INE935N01020
LALPATHLAB,Healthcare,INE600L01024
DRREDDY,Healthcare,INE089A01031
DUMMYHEG,Metals & Mining,DUM545A01024
EIDPARRY,Fast Moving Consumer Goods,INE126A01031
EIHOTEL,Consumer Services,INE230A01023
EICHERMOT,Automobile and Auto Components,INE066A01021
ELECON,Capital Goods,INE205B01031
ELGIEQUIP,Capital Goods,INE285A01027
EMAMILTD,Fast Moving Consumer Goods,INE548C01032
EMCURE,Healthcare,INE168P01015
EMMVEE,Capital Goods,INE1C6T01020
ENDURANCE,Automobile and Auto Components,INE913H01037
ENGINERSIN,Construction,INE510A01028
ERIS,Healthcare,INE406M01024
ESCORTS,Capital Goods,INE042A01014
ETERNAL,Consumer Services,INE758T01015
EXIDEIND,Automobile and Auto Components,INE302A01020
NYKAA,Consumer Services,INE388Y01029
FEDERALBNK,Financial Services,INE171A01029
FACT,Chemicals,INE188A01015
FINCABLES,Capital Goods,INE235A01022
FSL,Services,INE684F01012
FIVESTAR,Financial Services,INE128S01021
FORCEMOT,Automobile and Auto Components,INE451A01017
FORTIS,Healthcare,INE061F01013
GAIL,Oil Gas & Consumable Fuels,INE129A01019
GVT&D,Capital Goods,INE200A01026
GMRAIRPORT,Services,INE776C01039
GABRIEL,Automobile and Auto Components,INE524A01029
GALLANTT,Capital Goods,INE297H01019
GRSE,Capital Goods,INE382Z01011
GICRE,Financial Services,INE481Y01014
GILLETTE,Fast Moving Consumer Goods,INE322A01010
GLAND,Healthcare,INE068V01023
GLAXO,Healthcare,INE159A01016
GLENMARK,Healthcare,INE935A01035
MEDANTA,Healthcare,INE474Q01031
GODIGIT,Financial Services,INE03JT01014
GPIL,Capital Goods,INE177H01039
GODFRYPHLP,Fast Moving Consumer Goods,INE260B01028
GODREJCP,Fast Moving Consumer Goods,INE102D01028
GODREJIND,Diversified,INE233A01035
GODREJPROP,Realty,INE484J01027
GRANULES,Healthcare,INE101D01020
GRAPHITE,Capital Goods,INE371A01025
GRASIM,Construction Materials,INE047A01021
GRAVITA,Metals & Mining,INE024L01027
GESHIP,Services,INE017A01032
FLUOROCHEM,Chemicals,INE09N301011
GMDCLTD,Metals & Mining,INE131A01031
HBLENGINE,Capital Goods,INE292B01021
HCLTECH,Information Technology,INE860A01027
HDBFS,Financial Services,INE756I01012
HDFCAMC,Financial Services,INE127D01025
HDFCBANK,Financial Services,INE040A01034
HDFCLIFE,Financial Services,INE795G01014
HEGAM,Capital Goods,INE545A01024
HFCL,Telecommunication,INE548A01028
HAVELLS,Consumer Durables,INE176B01034
HEROMOTOCO,Automobile and Auto Components,INE158A01026
HEXT,Information Technology,INE093A01041
HSCL,Chemicals,INE019C01026
HINDALCO,Metals & Mining,INE038A01020
HAL,Capital Goods,INE066F01020
HINDCOPPER,Metals & Mining,INE531E01026
HINDPETRO,Oil Gas & Consumable Fuels,INE094A01015
HINDUNILVR,Fast Moving Consumer Goods,INE030A01027
HINDZINC,Metals & Mining,INE267A01025
POWERINDIA,Capital Goods,INE07Y701011
HOMEFIRST,Financial Services,INE481N01025
HONASA,Fast Moving Consumer Goods,INE0J5401028
HONAUT,Capital Goods,INE671A01010
HUDCO,Financial Services,INE031A01017
HYUNDAI,Automobile and Auto Components,INE0V6F01027
ICICIBANK,Financial Services,INE090A01021
ICICIGI,Financial Services,INE765G01017
ICICIAMC,Financial Services,INE346A01027
ICICIPRULI,Financial Services,INE726G01019
IDBI,Financial Services,INE008A01015
IDFCFIRSTB,Financial Services,INE092T01019
IFCI,Financial Services,INE039A01010
IIFL,Financial Services,INE530B01024
IRB,Construction,INE821I01022
IRCON,Construction,INE962Y01021
ITCHOTELS,Consumer Services,INE379A01028
ITC,Fast Moving Consumer Goods,INE154A01025
ITI,Telecommunication,INE248A01017
INDGN,Healthcare,INE065X01017
INDIACEM,Construction Materials,INE383A01012
INDIAMART,Consumer Services,INE933S01016
INDIANB,Financial Services,INE562A01011
IEX,Financial Services,INE022Q01020
INDHOTEL,Consumer Services,INE053A01029
IOC,Oil Gas & Consumable Fuels,INE242A01010
IOB,Financial Services,INE565A01014
IRCTC,Consumer Services,INE335Y01020
IRFC,Financial Services,INE053F01010
IREDA,Financial Services,INE202E01016
IGL,Oil Gas & Consumable Fuels,INE203G01027
INDUSTOWER,Telecommunication,INE121J01017
INDUSINDBK,Financial Services,INE095A01012
NAUKRI,Consumer Services,INE663F01032
INFY,Information Technology,INE009A01021
INOXWIND,Capital Goods,INE066P01011
INTELLECT,Information Technology,INE306R01017
INDIGO,Services,INE646L01027
IGIL,Services,INE0Q9301021
IKS,Information Technology,INE115Q01022
IPCALAB,Healthcare,INE571A01038
JKCEMENT,Construction Materials,INE823G01014
JBMA,Automobile and Auto Components,INE927D01051
JKTYRE,Automobile and Auto Components,INE573A01042
JMFINANCIL,Financial Services,INE780C01023
JSWCEMENT,Construction Materials,INE718I01012
JSWDULUX,Consumer Durables,INE133A01011
JSWENERGY,Power,INE121E01018
JSWINFRA,Services,INE880J01026
JSWSTEEL,Metals & Mining,INE019A01038
JAINREC,Metals & Mining,INE0YD401026
JPPOWER,Power,INE351F01018
J&KBANK,Financial Services,INE168A01041
JINDALSAW,Capital Goods,INE324A01032
JSL,Metals & Mining,INE220G01021
JINDALSTEL,Metals & Mining,INE749A01030
JIOFIN,Financial Services,INE758E01017
JUBLFOOD,Consumer Services,INE797F01020
JUBLINGREA,Chemicals,INE0BY001018
JUBLPHARMA,Healthcare,INE700A01033
JWL,Capital Goods,INE209L01016
JYOTICNC,Capital Goods,INE980O01024
KPRMILL,Textiles,INE930H01031
KEI,Capital Goods,INE878B01027
KPITTECH,Information Technology,INE04I401011
KAJARIACER,Consumer Durables,INE217B01036
KPIL,Construction,INE220B01022
KALYANKJIL,Consumer Durables,INE303R01014
KARURVYSYA,Financial Services,INE036D01028
KAYNES,Capital Goods,INE918Z01012
KEC,Construction,INE389H01022
KFINTECH,Financial Services,INE138Y01010
KIRLOSENG,Capital Goods,INE146L01010
KOTAKBANK,Financial Services,INE237A01036
KIMS,Healthcare,INE967H01025
LTF,Financial Services,INE498L01015
LTTS,Information Technology,INE010V01017
LGEINDIA,Consumer Durables,INE324D01010
LICHSGFIN,Financial Services,INE115A01026
LTFOODS,Fast Moving Consumer Goods,INE818H01020
LTM,Information Technology,INE214T01019
LT,Construction,INE018A01030
LATENTVIEW,Information Technology,INE0I7C01011
LAURUSLABS,Healthcare,INE947Q01028
THELEELA,Consumer Services,INE0AQ201015
LEMONTREE,Consumer Services,INE970X01018
LENSKART,Consumer Services,INE956O01016
LICI,Financial Services,INE0J1Y01017
LINDEINDIA,Chemicals,INE473A01011
LLOYDSME,Metals & Mining,INE281B01032
LODHA,Realty,INE670K01029
LUPIN,Healthcare,INE326A01037
MMTC,Services,INE123F01029
MRF,Automobile and Auto Components,INE883A01011
MGL,Oil Gas & Consumable Fuels,INE002S01010
M&MFIN,Financial Services,INE774D01024
M&M,Automobile and Auto Components,INE101A01026
MANAPPURAM,Financial Services,INE522D01027
MRPL,Oil Gas & Consumable Fuels,INE103A01014
MANKIND,Healthcare,INE634S01028
MARICO,Fast Moving Consumer Goods,INE196A01026
MARUTI,Automobile and Auto Components,INE585B01010
MFSL,Financial Services,INE180A01020
MAXHEALTH,Healthcare,INE027H01010
MAZDOCK,Capital Goods,INE249Z01020
MEESHO,Consumer Services,INE0VDM01015
MINDACORP,Automobile and Auto Components,INE842C01021
MSUMI,Automobile and Auto Components,INE0FS801015
MOTILALOFS,Financial Services,INE338I01027
MPHASIS,Information Technology,INE356A01018
MCX,Financial Services,INE745G01043
